from_bank,from_branch,service_id,amount_bin,to_bank,to_branch,fee
MIZUHO,001,G,0-100000,MUFG,001,220
MIZUHO,001,G,100000+,MUFG,001,330
MIZUHO,001,G,0-100000,MUFG,002,250
MIZUHO,001,G,100000+,MUFG,002,360
MIZUHO,001,G,0-100000,SMBC,001,240
MIZUHO,001,G,100000+,SMBC,001,350
MIZUHO,001,G,0-100000,SMBC,002,270
MIZUHO,001,G,100000+,SMBC,002,380
MIZUHO,002,G,0-100000,MUFG,001,230
MIZUHO,002,G,100000+,MUFG,001,340
MIZUHO,002,G,0-100000,MUFG,002,260
MIZUHO,002,G,100000+,MUFG,002,370
MIZUHO,002,G,0-100000,SMBC,001,250
MIZUHO,002,G,100000+,SMBC,001,360
MIZUHO,002,G,0-100000,SMBC,002,280
MIZUHO,002,G,100000+,SMBC,002,390
MUFG,001,G,0-100000,MIZUHO,001,220
MUFG,001,G,100000+,MIZUHO,001,330
MUFG,001,G,0-100000,MIZUHO,002,250
MUFG,001,G,100000+,MIZUHO,002,360
MUFG,001,G,0-100000,SMBC,001,200
MUFG,001,G,100000+,SMBC,001,300
MUFG,001,G,0-100000,SMBC,002,230
MUFG,001,G,100000+,SMBC,002,340
MUFG,002,G,0-100000,MIZUHO,001,230
MUFG,002,G,100000+,MIZUHO,001,340
MUFG,002,G,0-100000,MIZUHO,002,260
MUFG,002,G,100000+,MIZUHO,002,370
MUFG,002,G,0-100000,SMBC,001,210
MUFG,002,G,100000+,SMBC,001,320
MUFG,002,G,0-100000,SMBC,002,240
MUFG,002,G,100000+,SMBC,002,350
SMBC,001,G,0-100000,MIZUHO,001,240
SMBC,001,G,100000+,MIZUHO,001,350
SMBC,001,G,0-100000,MIZUHO,002,270
SMBC,001,G,100000+,MIZUHO,002,380
SMBC,001,G,0-100000,MUFG,001,200
SMBC,001,G,100000+,MUFG,001,300
SMBC,001,G,0-100000,MUFG,002,230
SMBC,001,G,100000+,MUFG,002,340
SMBC,002,G,0-100000,MIZUHO,001,250
SMBC,002,G,100000+,MIZUHO,001,360
SMBC,002,G,0-100000,MIZUHO,002,280
SMBC,002,G,100000+,MIZUHO,002,390
SMBC,002,G,0-100000,MUFG,001,210
SMBC,002,G,100000+,MUFG,001,320
SMBC,002,G,0-100000,MUFG,002,240
SMBC,002,G,100000+,MUFG,002,350
